SMP0000654	SMP0000074	SMP0000050	SMP0000032	SMP0000075	SMP0000025	SMP0000004	SMP0000046	SMP0000072	SMP0000034	SMP0000128	SMP0000060	SMP0000023	SMP0000011	SMP0000463	SMP0000355	SMP0000057	SMP0000020	SMP0000063	SMP0000033	SMP0000016	SMP0030406	SMP0000064	SMP0000006	SMP0000045	SMP0000044	SMP0000035	SMP0030880	SMP0000058	SMP0000040	SMP0000031	SMP0000024	SMP0000462	SMP0000067	SMP0000051	SMP0000048	SMP0000043	SMP0000059	SMP0000039	SMP0000037	SMP0000467	SMP0000009	SMP0000068	SMP0000053	SMP0000457	SMP0000130	SMP0000008	SMP0000029	SMP0000015	SMP0000716	SMP0000482	SMP0000444	SMP0000466	SMP0000452	SMP0000007	SMP0000013	SMP0000481	SMP0000480	SMP0000010	SMP0000127	SMP0000123	SMP0000073	SMP0000005	SMP0000030	SMP0000028	SMP0020986	SMP0000449	SMP0000054	SMP0000041	SMP0014212	SMP0000445	SMP0000027	SMP0029731	SMP0015896	SMP0000479	SMP0000468	SMP0000465	SMP0000071	SMP0000070	SMP0000065	SMP0000055	SMP0000052	SMP0000021	SMP0000018	SMP0000017
MPC1	DGAT1	GDA	MCCC2	CBR1	PLA2G4B	GATM	GDA	ALDH4A1	SGMS1	GAPDH	AKR1B1	LSS	INPP4A	PIP5K1A	GPD2	SUCLG1	GATM	DDC	AHCY	ACSS1	SDF2L1	TSTA3	PNMT	GNE	AMDHD1	CYP8B1	PPIB	AMY1A	PANK1	ALDOA	COX15	INPP1	CAD	ACADS	NADK	G6PC	ASL	PPAP2C	DHTKD1	ATP1B3	GLDC	UGT2B17	MTFMT	SLC2A2	HSD3B2	FAH	GGT1	GGCT																																				
PC	RPE65	NUDT5	ACADS	ALOX15	PHOSPHO1	GAMT	UPP2	GPT	ENPP7	PANK1	ME1	DHCR24	PLCD3	INPP4B	NDUFA1	SUCLG2	GAMT	ALDH2	IL4I1	ACSS3	UGT1A1	FPGT	MAOA	HK1	FTCD	CYP7A1	SDF2L1	AGL	PGAM1	FBP1	HMOX1	IMPA1	ASRGL1	ACAT1	NADSYN1	HK1	ASS1	LPL	DLST	FXYD2	GCSH	STS	SLC46A1																																									
PDHA1	PNPLA4	PRPS1L1	ACADSB	CYP2C8	CHPT1	ALAS1	DPYD	GLUD1	UGT8	PGAM2	DLD	CYP51A1	PIKFYVE	PIP4K2A	SDHA	FH	CKB	ASMT	MARS	PCCA	ERP29	FUK	ADH1A	NANS	ABP1	LIPA	UGT1A1	UGDH	PGAM2	PFKL	BLVRA	INPP4A	ASL	GCDH	NMRK1	GCK	SLC25A12	LIPC	DLD																																													
PDHB	BCMO1	PPAT	ACAD8	CYP2B6	DGKA	BHMT	DPYS	GOT2	GALC	ENO1	DLAT	TM7SF2	FIG4	INPP5D	SDHB	MDH2	ARG1	IDO1	MTFMT	PCCB	CYP19A1	KHK	HAAO	NPL	CARNMT1	CYP46A1	ERP29	PYGL	ENO1	DERA	UGT2B11	ISYNA1	IL4I1	ACADVL	QPRT	LCT																																																
DLAT	ALDH1A1	GART	HIBCH	EPHX2	PPAP2A	GNMT	UPB1	EARS2	GBA	BPGM	ACACA	MSMO1	VAC14	INPP5E	SDHC	PC	OTC	AANAT	MAT2A	DBT	HSD17B3	TPI1	HGD	NANP	CNDP2	CYP39A1	HSD17B1	UGT2B11	PKLR	GPI	GUSB																																																					
DLD	ALDH1A2	PFAS	HIBADH	ALOX5	PLD2	GLYCTK	RRM2	GCLC	UGCG	PGAM1	ACAT1	NSDHL	PI4KA	PI4KA	SDHD	SDHA	SLC25A15	CYP1A1	MAT2B	DLD	CYP11B1	ALDOA	MIF	CMAS	HARS2	CYP7B1	CYP3A5	GUSB																																																								
CS	CYP26A1	PAICS	ABAT	PTGS1	PEMT	PHGDH	RRM2B	GCLM	GLB1	PCK1	ACOT12	HSD17B7	PIK3C3	PIK3C2A	CYCS	SDHB	DAO	INMT	CHDH	BCKDHB	HSD11B1	PFKFB1	ABP1	SLC17A5	HARS	CH25H																																																										
LDHAL6A	RETSAT	ADSL	HSD17B10	ALOX15B	PTDSS2	PSAT1	UCKL1	GSS	B4GALT6	MDH2	ACYP1	EBP	PIK3R4	ERBB2	UQCRC1	SDHC	GOT1	AOX1	MSRB3	BCKDHA	AKR1D1	ALDOB	COMT																																																													
SLC16A1	DNAJB11	ATIC	ACAA2	CYP2E1	PISD	PSPH	CDA	GSR	GAL3ST1	SLC25A11	ALDH2	SC5DL	AMBRA1	PIK3CD	MT-CO1	SDHD	NOS1	WARS	MSRB2	LDHAL6B																																																																
ACO2	HSP90B1	ITPA	ALDH6A1	ALOX12B	PGS1	SDS	TYMP	GAD1	ARSA	PC	ACSS2	HMGCR	PIK3CA	PTEN	GPD1	MPC1	EPRS																																																																			
IDH3A	HSPA5	GMPS	PCCA	CYP2J2	PTPMT1	SHMT1	DCTD	ABAT	GLA	MPC1	PDHA1	SOAT1	PTPMT1	PLCB1	GAPDH	ACO2																																																																				
IDH3B	HYOU1	IMPDH1	PCCB	CYP2U1	CRLS1	SRR	TK1	ALDH5A1	NEU3	LDHAL6A	PDHB	LIPA																																																																								
IDH3G	PDIA2	GMPR	MCEE	CYP4A11	GPD1	CBS	TYMS	QARS	ACER3																																																																											
OGDH	PDIA4	XDH	MUT	ALOX12	GPAM	CTH	DUT																																																																													
DLST	PDIA6	ADSS	AOX1	PLA2G4B	PCYT1A	SARS																																																																														
SUCLG1	PPIB	AMPD1	ALDH2	PTGS2	CHKA	GARS																																																																														
SUCLG2	SDF2L1	ADA	AUH	CYP4F8	PTDSS1																																																																															
SDHA	UGT1A1	AK1	HMGCS2	CYP4F3																																																																																
SDHB	ERP29	ATAD1	ACAT1																																																																																	
SDHC	CYP2A6	PDE4D	OXCT1																																																																																	
SDHD	CYP2A7	ADCY10																																																																																		
FH	CYP2A13	GUCY1A2																																																																																		
MDH1	CYP2B6	GUCY1B3																																																																																		
GLUD1	CYP3A7	PDE10A																																																																																		
GLS2	CYP3A4	TXN																																																																																		
SLC1A5	CYP3A5	RRM1																																																																																		
TALDO1	CYP3A43	RRM2																																																																																		
TKT																																																																																				
RPIA																																																																																				
PGLS																																																																																				
G6PD																																																																																				
PGD																																																																																				
ACO1																																																																																				
IDH1																																																																																				
PKM																																																																																				
